{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '3.776e-05', 'epoch': '9.628'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '3.361e-05', 'epoch': '9.669'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '2.946e-05', 'epoch': '9.711'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '2.531e-05', 'epoch': '9.753'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '2.116e-05', 'epoch': '9.794'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '1.701e-05', 'epoch': '9.836'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '1.286e-05', 'epoch': '9.877'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '8.714e-06', 'epoch': '9.919'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '4.564e-06', 'epoch': '9.96'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '4.149e-07', 'epoch': '10'}
{'train_runtime': '1109', 'train_samples_per_second': '8.676', 'train_steps_per_second': '2.173', 'train_loss': '3.323', 'epoch': '10'}
{'loss': '9.628', 'grad_norm': '81.68', 'learning_rate': '0.0009963', 'epoch': '0.04158'}
{'loss': '9.258', 'grad_norm': '5.532', 'learning_rate': '0.0009921', 'epoch': '0.08316'}
{'loss': '6.744', 'grad_norm': '2.937', 'learning_rate': '0.000988', 'epoch': '0.1247'}
{'loss': '6.403', 'grad_norm': '1.896', 'learning_rate': '0.0009838', 'epoch': '0.1663'}
{'loss': '6.296', 'grad_norm': '1.413', 'learning_rate': '0.0009797', 'epoch': '0.2079'}
{'loss': '6.3', 'grad_norm': '1.682', 'learning_rate': '0.0009755', 'epoch': '0.2495'}
{'loss': '6.238', 'grad_norm': '1.705', 'learning_rate': '0.0009714', 'epoch': '0.2911'}
{'loss': '5.931', 'grad_norm': '1.554', 'learning_rate': '0.0009672', 'epoch': '0.3326'}
{'loss': '5.982', 'grad_norm': '1.224', 'learning_rate': '0.0009631', 'epoch': '0.3742'}
{'loss': '5.995', 'grad_norm': '1.03', 'learning_rate': '0.0009589', 'epoch': '0.4158'}
{'loss': '5.833', 'grad_norm': '1.406', 'learning_rate': '0.0009548', 'epoch': '0.4574'}
{'loss': '5.905', 'grad_norm': '1.296', 'learning_rate': '0.0009506', 'epoch': '0.499'}
{'loss': '5.994', 'grad_norm': '1.225', 'learning_rate': '0.0009465', 'epoch': '0.5405'}
{'loss': '5.866', 'grad_norm': '1.321', 'learning_rate': '0.0009423', 'epoch': '0.5821'}
{'loss': '5.787', 'grad_norm': '1.118', 'learning_rate': '0.0009382', 'epoch': '0.6237'}
{'loss': '5.893', 'grad_norm': '1.363', 'learning_rate': '0.000934', 'epoch': '0.6653'}
{'loss': '5.86', 'grad_norm': '1.266', 'learning_rate': '0.0009299', 'epoch': '0.7069'}
{'loss': '5.911', 'grad_norm': '1.121', 'learning_rate': '0.0009257', 'epoch': '0.7484'}
{'loss': '5.675', 'grad_norm': '1.253', 'learning_rate': '0.0009216', 'epoch': '0.79'}
{'loss': '5.826', 'grad_norm': '1.071', 'learning_rate': '0.0009174', 'epoch': '0.8316'}
{'loss': '5.704', 'grad_norm': '0.9507', 'learning_rate': '0.0009133', 'epoch': '0.8732'}
{'loss': '5.785', 'grad_norm': '1.187', 'learning_rate': '0.0009091', 'epoch': '0.9148'}
{'loss': '5.788', 'grad_norm': '1.152', 'learning_rate': '0.000905', 'epoch': '0.9563'}
{'loss': '5.908', 'grad_norm': '0.8821', 'learning_rate': '0.0009008', 'epoch': '0.9979'}
{'loss': '5.617', 'grad_norm': '1.113', 'learning_rate': '0.0008967', 'epoch': '1.037'}
{'loss': '5.858', 'grad_norm': '0.9171', 'learning_rate': '0.0008925', 'epoch': '1.079'}
{'loss': '5.765', 'grad_norm': '0.9831', 'learning_rate': '0.0008884', 'epoch': '1.121'}
{'loss': '5.771', 'grad_norm': '1.057', 'learning_rate': '0.0008842', 'epoch': '1.162'}
{'loss': '5.65', 'grad_norm': '0.9136', 'learning_rate': '0.0008801', 'epoch': '1.204'}
{'loss': '5.629', 'grad_norm': '1.108', 'learning_rate': '0.0008759', 'epoch': '1.245'}
{'loss': '5.614', 'grad_norm': '1.059', 'learning_rate': '0.0008718', 'epoch': '1.287'}
{'loss': '5.653', 'grad_norm': '0.93', 'learning_rate': '0.0008676', 'epoch': '1.328'}
